index,build,test_index,SIZE,NTHREADS,y_RX-RATE-PPS,y_RX-RATE-MBPS,y_LOSE-RATE,y_AVG-LAT,y_RX-GOODPUT-GBPS-PKTGEN,y_GOODRATEPC,run_index
49,DPA CRC,16,128,128,8923029.0,10564.8651016,0.89022319871925,0.0,10.0,10.977680128074995,1
50,DPA CRC,16,128,128,8917073.0,10557.8137096,0.88922784175695,0.0,10.0,11.077215824304998,2
51,DPA CRC,17,256,128,4338970.0,9580.4451336,0.90303343355439,0.0,9.0,9.696656644560997,0
52,DPA CRC,17,256,128,4340178.0,9583.1125064,0.90304888802916,0.0,9.0,9.695111197084005,1
53,DPA CRC,17,256,128,4338931.0,9580.3596456,0.90303065665396,0.0,9.0,9.696934334604002,2
54,DPA CRC,18,512,128,2268617.0,9655.2345384,0.90154757141624,0.0,9.0,9.845242858376002,0
55,DPA CRC,18,512,128,2271667.0,9668.2153544,0.90155927808811,0.0,9.0,9.844072191189001,1
56,DPA CRC,18,512,128,2270734.0,9664.2401512,0.90152899443264,0.0,9.0,9.847100556735999,2
57,DPA CRC,19,1024,128,1149779.0,9602.9506344,0.90271453397037,0.0,9.0,9.728546602962995,0
58,DPA CRC,19,1024,128,1148802.0,9594.7924168,0.9027021830418,0.0,9.0,9.729781695819995,1
59,DPA CRC,19,1024,128,1149340.0,9599.286596,0.90270155303001,0.0,9.0,9.729844696999002,2
60,DPA CRC,20,64,190,24785745.0,16656.0203272,0.72758238105942,0.0,16.0,27.241761894058,0
61,DPA CRC,20,64,190,24790158.0,16658.9857448,0.71609860771282,0.0,16.0,28.390139228718002,1
62,DPA CRC,20,64,190,24791748.0,16660.0532136,0.71672365430914,0.0,16.0,28.327634569086,2
63,DPA CRC,21,128,190,13390459.0,15854.301428,0.83358251581165,0.0,16.0,16.641748418835,0
64,DPA CRC,21,128,190,13391498.0,15855.5311208,0.83461573434683,0.0,16.0,16.538426565317,1
65,DPA CRC,21,128,190,13396870.0,15861.8927592,0.83581852933385,0.0,16.0,16.418147066614996,2
66,DPA CRC,22,256,190,6833760.0,15088.9408808,0.84723597133565,0.0,15.0,15.276402866435001,0
67,DPA CRC,22,256,190,6833539.0,15088.4525224,0.84722576278281,0.0,15.0,15.277423721718996,1
68,DPA CRC,22,256,190,6833940.0,15089.3381672,0.84724053425142,0.0,15.0,15.275946574858,2
69,DPA CRC,23,512,190,3359172.0,14296.6339016,0.8542498889054,0.0,14.0,14.57501110946,0
70,DPA CRC,23,512,190,3357478.0,14289.4244168,0.85425240996012,0.0,14.0,14.574759003988003,1
71,DPA CRC,23,512,190,3356835.0,14286.6862344,0.85431503425125,0.0,14.0,14.568496574875,2
72,DPA CRC,24,1024,190,1713849.0,14314.0652232,0.8547473881752,0.0,14.0,14.525261182479998,0
73,DPA CRC,24,1024,190,1714240.0,14317.3280552,0.85473208910356,0.0,14.0,14.526791089643998,1
74,DPA CRC,24,1024,190,1714022.0,14315.5139848,0.85477349746974,0.0,14.0,14.522650253026004,2
75,DPA CRC,25,64,254,28496179.0,19149.4326568,0.67410452083374,0.0,21.0,32.589547916626,0
76,DPA CRC,25,64,254,31617759.0,21247.132708,0.63545057691423,0.0,21.0,36.454942308576996,1
77,DPA CRC,25,64,254,31612183.0,21243.3858216,0.63384570984046,0.0,,36.61542901595401,2
