feature_name,feature_value,feature_value_all,feature_value_name,norm_score,score,type,vis
symbol_in_name,digit,N/A,digit,0.816122,11.823907,categorical,scatter
symbol_in_name,digit,N/A,digit,0.599129,11.788166,categorical,bar
symbol_in_name,digit,N/A,digit,0.673758,11.800458,categorical,box
symbol_in_name,digit,N/A,digit,0.0,11.689482,categorical,histogram
symbol_in_name,digit,N/A,digit,0.36591,11.749752,categorical,heatmap
first_char_uppercase_name,first_char_uppercase_name_False,N/A,first_char_uppercase_name_False,0.163475,11.74135,categorical,line
first_char_uppercase_name,first_char_uppercase_name_False,N/A,first_char_uppercase_name_False,0.97157,11.808014,categorical,scatter
first_char_uppercase_name,first_char_uppercase_name_False,N/A,first_char_uppercase_name_False,0.402156,11.76104,categorical,bar
first_char_uppercase_name,first_char_uppercase_name_False,N/A,first_char_uppercase_name_False,0.0,11.727865,categorical,box
first_char_uppercase_name,first_char_uppercase_name_False,N/A,first_char_uppercase_name_False,0.004269,11.728217,categorical,histogram
first_char_uppercase_name,first_char_uppercase_name_False,N/A,first_char_uppercase_name_False,1.0,11.810359,categorical,heatmap
symbol_in_name,space,N/A,space,1.0,11.843443,categorical,line
symbol_in_name,space,N/A,space,0.6645,11.780591,categorical,scatter
symbol_in_name,space,N/A,space,0.540576,11.757375,categorical,bar
symbol_in_name,space,N/A,space,0.605227,11.769487,categorical,box
symbol_in_name,space,N/A,space,0.0,11.656105,categorical,histogram
symbol_in_name,space,N/A,space,0.272281,11.707113,categorical,heatmap
is_sorted,is_sorted_False,N/A,is_sorted_False,0.34588,11.747262,categorical,line
is_sorted,is_sorted_False,N/A,is_sorted_False,0.30487,11.742841,categorical,scatter
is_sorted,is_sorted_False,N/A,is_sorted_False,0.419205,11.755167,categorical,bar
is_sorted,is_sorted_False,N/A,is_sorted_False,1.0,11.817783,categorical,box
is_sorted,is_sorted_False,N/A,is_sorted_False,0.0,11.709973,categorical,histogram
is_sorted,is_sorted_False,N/A,is_sorted_False,0.298543,11.742159,categorical,heatmap
is_monotonic,is_monotonic_True,N/A,is_monotonic_True,1.0,11.784268,categorical,line
is_monotonic,is_monotonic_True,N/A,is_monotonic_True,0.915934,11.775873,categorical,scatter
is_monotonic,is_monotonic_True,N/A,is_monotonic_True,0.0,11.684408,categorical,bar
is_monotonic,is_monotonic_True,N/A,is_monotonic_True,0.531474,11.737481,categorical,box
